,Pop,Sq.Ki.,Sq.Mi.,Pop.per.Sq.Ki.,Name
,4040587,131443.1,50750.2,30.7,Alabama
,34222,1543.7,596.0,22.2,Autauga County
,98280,4135.0,1596.5,23.8,Baldwin County
,25417,2292.1,885.0,11.1,Barbour County
,16576,1611.9,622.4,10.3,Bibb County
,39248,1672.3,645.7,23.5,Blount County
,11042,1618.9,625.1,6.8,Bullock County
,21892,2012.3,776.9,10.9,Butler County
,116034,1576.0,608.5,73.6,Calhoun County
,36876,1547.3,597.4,23.8,Chambers County
,19543,1432.7,553.2,13.6,Cherokee County
,32458,1797.6,694.1,18.1,Chilton County
,16018,2366.2,913.6,6.8,Choctaw County
,27240,3207.7,1238.5,8.5,Clarke County
,13252,1567.3,605.1,8.5,Clay County
,12730,1450.9,560.2,8.8,Cleburne County
,40240,1759.1,679.2,22.9,Coffee County
,51666,1539.9,594.6,33.6,Colbert County
,14054,2203.8,850.9,6.4,Conecuh County
,11063,1690.0,652.5,6.5,Coosa County
,36478,2679.9,1034.7,13.6,Covington County
,13635,1578.9,609.6,8.6,Crenshaw County
,67613,1912.7,738.5,35.4,Cullman County
,49633,1453.3,561.1,34.2,Dale County
,48130,2540.3,980.8,18.9,Dallas County
,54651,2015.0,778.0,27.1,DeKalb County
,49210,1609.9,621.6,30.6,Elmore County
,35518,2454.0,947.5,14.5,Escambia County
,99840,1385.2,534.8,72.1,Etowah County
,17962,1626.0,627.8,11.0,Fayette County
,27814,1646.4,635.7,16.9,Franklin County
,23647,1492.8,576.4,15.8,Geneva County
,10153,1673.0,646.0,6.1,Greene County
,15498,1667.4,643.8,9.3,Hale County
,15374,1455.5,562.0,10.6,Henry County
,81331,1503.3,580.4,54.1,Houston County
,47796,2794.1,1078.8,17.1,Jackson County
,651525,2881.8,1112.7,226.1,Jefferson County
,15715,1566.7,604.9,10.0,Lamar County
,79661,1734.1,669.5,45.9,Lauderdale County
,31513,1796.0,693.4,17.5,Lawrence County
,87146,1576.8,608.8,55.3,Lee County
,54135,1471.4,568.1,36.8,Limestone County
,12658,1859.6,718.0,6.8,Lowndes County
,24928,1581.4,610.6,15.8,Macon County
,238912,2084.8,805.0,114.6,Madison County
,23084,2530.7,977.1,9.1,Marengo County
,29830,1920.4,741.5,15.5,Marion County
,70832,1468.8,567.1,48.2,Marshall County
,378643,3194.4,1233.4,118.5,Mobile County
,23968,2657.3,1026.0,9.0,Monroe County
,209085,2045.8,789.9,102.2,Montgomery County
,100043,1508.0,582.2,66.3,Morgan County
,12759,1863.6,719.5,6.8,Perry County
,20699,2283.0,881.5,9.1,Pickens County
,27595,1738.1,671.1,15.9,Pike County
,19881,1505.0,581.1,13.2,Randolph County
,46860,1660.5,641.1,28.2,Russell County
,50009,1642.0,634.0,30.5,St. Clair County
,99358,2058.8,794.9,48.3,Shelby County
,16174,2343.9,905.0,6.9,Sumter County
,74107,1915.6,739.6,38.7,Talladega County
,38826,1859.7,718.0,20.9,Tallapoosa County
,150522,3432.4,1325.3,43.9,Tuscaloosa County
,67670,2057.6,794.5,32.9,Walker County
,16694,2799.1,1080.7,6.0,Washington County
,13568,2301.9,888.8,5.9,Wilcox County
,22053,1591.5,614.5,13.9,Winston County
,500043 1477267.5,570373.6,0.4,Alaska
,2464,18090.5,6984.8,0.1,Aleutians East Borough
,9478,11401.5,4402.1,0.8,Aleutians West Census Area
,226338,4396.9,1697.6,51.5,Anchorage Borough
