"","Pop","Sq.Ki.","Sq.Mi.","Pop.per.Sq.Ki.","Name","State"
"1","4040587",131443.1,50750.2,"30.7","Alabama",NA
"2","34222",1543.7,596,"22.2","Autauga County","Alabama"
"3","98280",4135,1596.5,"23.8","Baldwin County","Alabama"
"4","25417",2292.1,885,"11.1","Barbour County","Alabama"
"5","16576",1611.9,622.4,"10.3","Bibb County","Alabama"
"6","39248",1672.3,645.7,"23.5","Blount County","Alabama"
"7","11042",1618.9,625.1,"6.8","Bullock County","Alabama"
"8","21892",2012.3,776.9,"10.9","Butler County","Alabama"
"9","116034",1576,608.5,"73.6","Calhoun County","Alabama"
"10","36876",1547.3,597.4,"23.8","Chambers County","Alabama"
"11","19543",1432.7,553.2,"13.6","Cherokee County","Alabama"
"12","32458",1797.6,694.1,"18.1","Chilton County","Alabama"
"13","16018",2366.2,913.6,"6.8","Choctaw County","Alabama"
"14","27240",3207.7,1238.5,"8.5","Clarke County","Alabama"
"15","13252",1567.3,605.1,"8.5","Clay County","Alabama"
"16","12730",1450.9,560.2,"8.8","Cleburne County","Alabama"
"17","40240",1759.1,679.2,"22.9","Coffee County","Alabama"
"18","51666",1539.9,594.6,"33.6","Colbert County","Alabama"
"19","14054",2203.8,850.9,"6.4","Conecuh County","Alabama"
"20","11063",1690,652.5,"6.5","Coosa County","Alabama"
"21","36478",2679.9,1034.7,"13.6","Covington County","Alabama"
"22","13635",1578.9,609.6,"8.6","Crenshaw County","Alabama"
"23","67613",1912.7,738.5,"35.4","Cullman County","Alabama"
"24","49633",1453.3,561.1,"34.2","Dale County","Alabama"
"25","48130",2540.3,980.8,"18.9","Dallas County","Alabama"
"26","54651",2015,778,"27.1","DeKalb County","Alabama"
"27","49210",1609.9,621.6,"30.6","Elmore County","Alabama"
"28","35518",2454,947.5,"14.5","Escambia County","Alabama"
"29","99840",1385.2,534.8,"72.1","Etowah County","Alabama"
"30","17962",1626,627.8,"11.0","Fayette County","Alabama"
"31","27814",1646.4,635.7,"16.9","Franklin County","Alabama"
"32","23647",1492.8,576.4,"15.8","Geneva County","Alabama"
"33","10153",1673,646,"6.1","Greene County","Alabama"
"34","15498",1667.4,643.8,"9.3","Hale County","Alabama"
"35","15374",1455.5,562,"10.6","Henry County","Alabama"
"36","81331",1503.3,580.4,"54.1","Houston County","Alabama"
"37","47796",2794.1,1078.8,"17.1","Jackson County","Alabama"
"38","651525",2881.8,1112.7,"226.1","Jefferson County","Alabama"
"39","15715",1566.7,604.9,"10.0","Lamar County","Alabama"
"40","79661",1734.1,669.5,"45.9","Lauderdale County","Alabama"
"41","31513",1796,693.4,"17.5","Lawrence County","Alabama"
"42","87146",1576.8,608.8,"55.3","Lee County","Alabama"
"43","54135",1471.4,568.1,"36.8","Limestone County","Alabama"
"44","12658",1859.6,718,"6.8","Lowndes County","Alabama"
"45","24928",1581.4,610.6,"15.8","Macon County","Alabama"
"46","238912",2084.8,805,"114.6","Madison County","Alabama"
"47","23084",2530.7,977.1,"9.1","Marengo County","Alabama"
"48","29830",1920.4,741.5,"15.5","Marion County","Alabama"
"49","70832",1468.8,567.1,"48.2","Marshall County","Alabama"
"50","378643",3194.4,1233.4,"118.5","Mobile County","Alabama"
"51","23968",2657.3,1026,"9.0","Monroe County","Alabama"
"52","209085",2045.8,789.9,"102.2","Montgomery County","Alabama"
"53","100043",1508,582.2,"66.3","Morgan County","Alabama"
"54","12759",1863.6,719.5,"6.8","Perry County","Alabama"
"55","20699",2283,881.5,"9.1","Pickens County","Alabama"
"56","27595",1738.1,671.1,"15.9","Pike County","Alabama"
"57","19881",1505,581.1,"13.2","Randolph County","Alabama"
"58","46860",1660.5,641.1,"28.2","Russell County","Alabama"
"59","50009",1642,634,"30.5","St. Clair County","Alabama"
"60","99358",2058.8,794.9,"48.3","Shelby County","Alabama"
"61","16174",2343.9,905,"6.9","Sumter County","Alabama"
"62","74107",1915.6,739.6,"38.7","Talladega County","Alabama"
"63","38826",1859.7,718,"20.9","Tallapoosa County","Alabama"
"64","150522",3432.4,1325.3,"43.9","Tuscaloosa County","Alabama"
"65","67670",2057.6,794.5,"32.9","Walker County","Alabama"
"66","16694",2799.1,1080.7,"6.0","Washington County","Alabama"
"67","13568",2301.9,888.8,"5.9","Wilcox County","Alabama"
"68","22053",1591.5,614.5,"13.9","Winston County","Alabama"
"69","500043 1477267.5",570373.6,0.4,"Alaska","",NA
"70","2464",18090.5,6984.8,"0.1","Aleutians East Borough","Alaska"
"71","9478",11401.5,4402.1,"0.8","Aleutians West Census Area","Alaska"
"72","226338",4396.9,1697.6,"51.5","Anchorage Borough","Alaska"
"73","13656",106416.4,41087.4,"0.1","Bethel Census Area","Alaska"
"74","1410",1344.8,519.2,"1.0","Bristol Bay Borough","Alaska"
"75","4012",47829.3,18466.9,"0.1","Dillingham Census Area","Alaska"
"76","77720",19068.7,7362.4,"4.1","Fairbanks North Star Borough","Alaska"
"77","2117",6104.6,2357,"0.3","Haines Borough","Alaska"
"78","26751",6717.3,2593.6,"4.0","Juneau Borough","Alaska"
"79","40802",41644.4,16078.9,"1.0","Kenai Peninsula Borough","Alaska"
"80","13828",3158.9,1219.6,"4.4","Ketchikan Gateway Borough","Alaska"
"81","13309",16738.1,6462.6,"0.8","Kodiak Island Borough","Alaska"
"82","1668",61207.7,23632.3,"0.0","Lake and Peninsula Borough","Alaska"
"83","39683",63956.5,24693.6,"0.6","Matanuska-Susitna Borough","Alaska"
"84","8288",59602.5,23012.6,"0.1","Nome Census Area","Alaska"
"85","5979",227558.7,87860.5,"0.0","North Slope Borough","Alaska"
"86","6113",92883.8,35862.5,"0.1","Northwest Arctic Borough","Alaska"
"87","6278",18970.4,7324.5,"0.3","Prince of Wales-Outer Ketchikan Census Area","Alaska"
"88","8588",7463,2881.5,"1.2","Sitka Borough","Alaska"
"89","4385",33360.8,12880.6,"0.1","Skagway-Yakutat-Angoon Census Area","Alaska"
"90","5913",67324.7,25994.1,"0.1","Southeast Fairbanks Census Area","Alaska"
"91","9952",95688.5,36945.4,"0.1","Valdez-Cordova Census Area","Alaska"
"92","5791",44351.4,17124.1,"0.1","Wade Hampton Census Area","Alaska"
"93","7042",15044.1,5808.5,"0.5","Wrangell-Petersburg Census Area","Alaska"
"94","8478",406944.1,157121.3,"0.0","Yukon-Koyukuk Census Area","Alaska"
"95","3665228",294333.4,113642.2,"12.5","Arizona",NA
"96","61591",29022.7,11205.7,"2.1","Apache County","Arizona"
"97","97624",15980.3,6170,"6.1","Cochise County","Arizona"
"98","96591",48223.5,18619.1,"2.0","Coconino County","Arizona"
"99","40216",12349.3,4768.1,"3.3","Gila County","Arizona"
"100","26554",11990.8,4629.6,"2.2","Graham County","Arizona"
"101","8008",4784.1,1847.1,"1.7","Greenlee County","Arizona"
"102","13844",11653.9,4499.6,"1.2","La Paz County","Arizona"
"103","2122101",23838.5,9204,"89.0","Maricopa County","Arizona"
"104","93497",34479.2,13312.4,"2.7","Mohave County","Arizona"
"105","77658",25780.3,9953.8,"3.0","Navajo County","Arizona"
"106","666880",23794.3,9187,"28.0","Pima County","Arizona"
"107","116379",13908.3,5370,"8.4","Pinal County","Arizona"
"108","29676",3205.8,1237.7,"9.3","Santa Cruz County","Arizona"
"109","107714",21040,8123.5,"5.1","Yavapai County","Arizona"
"110","106895",14282.4,5514.4,"7.5","Yuma County","Arizona"
"111","2350725",134875.1,52075.3,"17.4","Arkansas",NA
"112","21653",2560.3,988.5,"8.5","Arkansas County","Arkansas"
"113","24319",2386.3,921.4,"10.2","Ashley County","Arkansas"
"114","31186",1435.9,554.4,"21.7","Baxter County","Arkansas"
"115","97499",2184.2,843.3,"44.6","Benton County","Arkansas"
"116","28297",1531.3,591.2,"18.5","Boone County","Arkansas"
"117","11793",1685.3,650.7,"7.0","Bradley County","Arkansas"
"118","5826",1627.4,628.3,"3.6","Calhoun County","Arkansas"
"119","18654",1641.5,633.8,"11.4","Carroll County","Arkansas"
"120","15713",1668.1,644.1,"9.4","Chicot County","Arkansas"
"121","21437",2241.7,865.5,"9.6","Clark County","Arkansas"
"122","18107",1655.9,639.3,"10.9","Clay County","Arkansas"
"123","19411",1432.5,553.1,"13.6","Cleburne County","Arkansas"
"124","7781",1548.2,597.8,"5.0","Cleveland County","Arkansas"
"125","25691",1984.4,766.2,"12.9","Columbia County","Arkansas"
"126","19151",1440.6,556.2,"13.3","Conway County","Arkansas"
"127","68956",1841,710.8,"37.5","Craighead County","Arkansas"
"128","42493",1542.3,595.5,"27.6","Crawford County","Arkansas"
"129","49939",1581.2,610.5,"31.6","Crittenden County","Arkansas"
"130","19225",1595.2,615.9,"12.1","Cross County","Arkansas"
"131","9614",1728.7,667.5,"5.6","Dallas County","Arkansas"
"132","16798",1981.4,765,"8.5","Desha County","Arkansas"
"133","17369",2145.1,828.2,"8.1","Drew County","Arkansas"
"134","60006",1676.7,647.4,"35.8","Faulkner County","Arkansas"
"135","14897",1578.9,609.6,"9.4","Franklin County","Arkansas"
"136","10037",1601.2,618.2,"6.3","Fulton County","Arkansas"
"137","73397",1756.2,678.1,"41.8","Garland County","Arkansas"
"138","13948",1636.4,631.8,"8.5","Grant County","Arkansas"
"139","31804",1495.9,577.6,"21.3","Greene County","Arkansas"
"140","21621",1887.7,728.8,"11.5","Hempstead County","Arkansas"
"141","26115",1592.8,615,"16.4","Hot Spring County","Arkansas"
"142","13569",1521.5,587.5,"8.9","Howard County","Arkansas"
"143","31192",1978.4,763.8,"15.8","Independence County","Arkansas"
"144","11364",1504.1,580.7,"7.6","Izard County","Arkansas"
"145","18944",1641,633.6,"11.5","Jackson County","Arkansas"
"146","85487",2291.6,884.8,"37.3","Jefferson County","Arkansas"
"147","18221",1715.1,662.2,"10.6","Johnson County","Arkansas"
"148","9643",1363.7,526.5,"7.1","Lafayette County","Arkansas"
"149","17457",1519.3,586.6,"11.5","Lawrence County","Arkansas"
"150","13053",1558.4,601.7,"8.4","Lee County","Arkansas"
"151","13690",1453.6,561.2,"9.4","Lincoln County","Arkansas"
"152","13966",1377.3,531.8,"10.1","Little River County","Arkansas"
"153","20557",1838.7,709.9,"11.2","Logan County","Arkansas"
"154","39268",1982.6,765.5,"19.8","Lonoke County","Arkansas"
"155","11618",2167.7,837,"5.4","Madison County","Arkansas"
"156","12001",1548.1,597.7,"7.8","Marion County","Arkansas"
"157","38467",1616.3,624.1,"23.8","Miller County","Arkansas"
"158","57525",2326.6,898.3,"24.7","Mississippi County","Arkansas"
"159","11333",1571.4,606.7,"7.2","Monroe County","Arkansas"
"160","7841",2022.7,781,"3.9","Montgomery County","Arkansas"
"161","10101",1605.8,620,"6.3","Nevada County","Arkansas"
"162","7666",2131.6,823,"3.6","Newton County","Arkansas"
"163","30574",1897.2,732.5,"16.1","Ouachita County","Arkansas"
"164","7969",1427,551,"5.6","Perry County","Arkansas"
"165","28838",1794.2,692.7,"16.1","Phillips County","Arkansas"
"166","10086",1561.9,603.1,"6.5","Pike County","Arkansas"
"167","24664",1962.7,757.8,"12.6","Poinsett County","Arkansas"
"168","17347",2226,859.5,"7.8","Polk County","Arkansas"
"169","45883",2103,812,"21.8","Pope County","Arkansas"
"170","9518",1673.1,646,"5.7","Prairie County","Arkansas"
"171","349660",1996.8,771,"175.1","Pulaski County","Arkansas"
"172","16558",1688.3,651.9,"9.8","Randolph County","Arkansas"
"173","28497",1641.8,633.9,"17.4","St. Francis County","Arkansas"
"174","64183",1877.1,724.8,"34.2","Saline County","Arkansas"
"175","10205",2315.3,893.9,"4.4","Scott County","Arkansas"
"176","7841",1728,667.2,"4.5","Searcy County","Arkansas"
"177","99590",1389.2,536.4,"71.7","Sebastian County","Arkansas"
"178","13637",1460.7,564,"9.3","Sevier County","Arkansas"
"179","14109",1565.4,604.4,"9.0","Sharp County","Arkansas"
"180","9775",1571.2,606.6,"6.2","Stone County","Arkansas"
"181","46719",2691,1039,"17.4","Union County","Arkansas"
"182","14008",1842.9,711.6,"7.6","Van Buren County","Arkansas"
"183","113409",2461.1,950.2,"46.1","Washington County","Arkansas"
"184","54676",2678.4,1034.1,"20.4","White County","Arkansas"
"185","9520",1519.3,586.6,"6.3","Woodruff County","Arkansas"
"186","17759",2403.2,927.9,"7.4","Yell County","Arkansas"
"187","29760021",403970.7,155973.2,"73.7","California",NA
"188","1279182",1910.1,737.5,"669.7","Alameda County","California"
"189","1113",1913.1,738.7,"0.6","Alpine County","California"
"190","30039",1534.7,592.6,"19.6","Amador County","California"
"191","182120",4246.6,1639.6,"42.9","Butte County","California"
