OID_,NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,Latitude,Longitude
,Lake of the Woods,Minnesota,27,077,27077,48.771708924400002,-94.903594510800005
,Ferry,Washington,53,019,53019,48.469484375699999,-118.518303278999990
,Stevens,Washington,53,065,53065,48.395808646799999,-117.856411579000000
,Okanogan,Washington,53,047,53047,48.548306857400000,-119.740610321000010
,Pend Oreille,Washington,53,051,53051,48.532707307099997,-117.275068815000000
,Boundary,Idaho,16,021,16021,48.764960219000002,-116.471333478999990
,Lincoln,Montana,30,053,30053,48.538366032100001,-115.409254496000000
,Flathead,Montana,30,029,30029,48.289549213199997,-114.055677273000000
,Glacier,Montana,30,035,30035,48.702025579800001,-113.000791135000000
,Toole,Montana,30,101,30101,48.653626940400002,-111.701097770000000
,Liberty,Montana,30,051,30051,48.559579144399997,-111.031009068000000
,Hill,Montana,30,041,30041,48.627919167100004,-110.115748099000000
,Sheridan,Montana,30,091,30091,48.722138279500001,-104.507814700000000
,Divide,North Dakota,38,023,38023,48.819401038999999,-103.488881398000000
,Burke,North Dakota,38,013,38013,48.793840269400000,-102.515919271000000
,Renville,North Dakota,38,075,38075,48.720389481399998,-101.659978405000000
,Bottineau,North Dakota,38,009,38009,48.791467053600002,-100.836292711000000
,Rolette,North Dakota,38,079,38079,48.771360453100002,-99.845869508899995
,Towner,North Dakota,38,095,38095,48.687893882799997,-99.246907384200000
,Cavalier,North Dakota,38,019,38019,48.774505760399997,-98.461239658200000
,Pembina,North Dakota,38,067,38067,48.768552727100001,-97.547073633599993
,Kittson,Minnesota,27,069,27069,48.775791610200002,-96.783076018599999
,Roseau,Minnesota,27,135,27135,48.777024230999999,-95.813731848600000
,Blaine,Montana,30,005,30005,48.434858570400003,-108.964720834000000
,Phillips,Montana,30,071,30071,48.262467518299999,-107.919586409000000
,Valley,Montana,30,105,30105,48.366739816900001,-106.672734119000000
,Daniels,Montana,30,019,30019,48.787140910500000,-105.550873581999990
,Whatcom,Washington,53,073,53073,48.823021933200003,-121.703864509000000
,Bonner,Idaho,16,017,16017,48.293110586700003,-116.600978555000000
,Ward,North Dakota,38,101,38101,48.224194019999999,-101.540597057000000
,Koochiching,Minnesota,27,071,27071,48.246384164699997,-93.783160808900007
,Skagit,Washington,53,057,53057,48.472878625100002,-121.719925511000000
