,0,1,2
0,"Buyers of 'Trump' properties say they got a raw deal

Trump on protester: I'd like to 'punch him in the face'

John Kasich: No one has asked me to drop out

Buyers of 'Trump' properties say they got a raw deal

Though Donald Trump does in fact build many of his signature properties, he and his family have made a fortune simply licensing his name. CNN's Drew Griffin investigates.",2016-02-23 00:00:00,[]
1,"Uh-oh! It could be you, or it could be us, but there's no page here.

Search",2016-02-23 00:00:00,[]
2,"(CNN) J. Michael Goodson is no slouch. Remember that when you hear his claim of being duped by a Donald Trump condo project in Fort Lauderdale, Florida.

It started back in 2005 when Goodson, who lives outside Princeton, New Jersey, was looking for a part-time home to live in while doing business near Miami. He admits he was enamored with the Trump Tower in Manhattan and with the developer who built it. Trump was a brand he could buy into, both for the prestige and his belief that a Trump property, no matter where it was, was bound to return a huge financial reward.

So in 2005, when Trump announced he was building a new Trump Tower in Fort Lauderdale, Goodson put down $345,000 to secure a sixth-floor unit right near the pool.

""We were given a brochure that said this was the best property he had ever developed,"" Goodson told CNN.

The brochure for the Trump International Hotel and Tower was actually a glossy picture book depicting the artists' rendering of a seaside tower with astounding ocean views, magnificent amenities and the Trump name throughout.

The book even includes a personally signed letter from Trump himself, which read, ""It is with great pleasure that I present my latest development, Trump International Hotel and Tower, Fort Lauderdale.""

Goodson still has that glossy book, but nothing else. Trump International Hotel and Tower was a failure.

The project fell victim to the property slump that hit South Florida in 2008. Two years later, the failed tower was in foreclosure and no longer bore the signature name. Donald J. Trump, it turns out, was not the developer. He had licensed his name and signed on to manage the hotel. When the project developer ran out of money, Trump took his name and walked away.

Goodson walked away with nothing to show for his $345,000 deposit and a lesson in Trump properties: When purchasing a Trump development, you better read the fine print.

JUST WATCHED Donald Trump under oath: Highlights from a 2009 deposition Replay More Videos ... MUST WATCH Donald Trump under oath: Highlights from a 2009 deposition 01:42

In luxury real estate, few brands compete with Trump

It turns out all Donald J. Trump properties are not the same. Trump has become hugely successful building a worldwide brand synonymous with the very best in luxury living. Though Trump does in fact build many of his signature properties, he and his family have made a fortune simply licensing his name.

Developers pay money to put Trump on their buildings; they use Donald Trump and his family to sell multimillion dollar units; and in some cases, the Trump Organization manages the properties. When it all works, it's a hugely profitable arrangement for the actual developers and an almost risk-free arrangement for Trump.

Daniel Lebensohn is one of those developers. He took over a separate project the Trump Organization was developing in Hollywood, Florida. He decided to keep the Trump name on the building and pay Trump a fee every time a condominium was sold.

""They (Trump) made millions of dollars on the project by having their name associated with it,"" Lebensohn explained from his South Florida office. ""And every time there was a transaction, a condominium closed, they got paid as well.""

The Trump organization would help design, market, price and even attend launch parties to potential buyers. The one thing the Trumps did not do was put up any of their own money. And they still got a huge return.

Trump Hollywood

Trump Hollywood sold out in 18 months. Two hundred luxury condos priced between $2 million and $6 million apiece. Trump got a cut of every sale just for the use of his name.

Lebensohn calls it a brilliant business model. And one very few names in the real estate business can get away with.

""In the luxury residential sector, there are very few brands that compete.""

When asked whether his buyers, especially those who came to sales events and met Trump, thought they were buying an actual Trump Property, Lebensohn seemed unashamed to have created that illusion.

""I guess beauty is in the eye of the beholder,"" Lebensohn explained. ""I don't know what each of the buyers is thinking, but I imagine there is an association tied to it that Trump is involved, and they are.""

The lawsuit

J. Michael Goodson says there is no doubt in his mind. He says he was sold a Trump property no matter what the fine print of his contract said. That is why he sued.

The Trump Organization has had to fight similar lawsuits in Tampa, Waikiki, Baja Mexico and Toronto.

In all those suits, buyers claim, they were led to believe Trump was the developer until, of course, they found out he wasn't. Usually they found out from Trump's attorneys who pointed to the exact disclosure in the contracts the buyers had signed.

Trump has won or settled most of the lawsuits against him.

Developing doesn't mean developer

In 2013, Trump was deposed on his role in the Trump Fort Lauderdale project and in a humorous exchange, tried to explain to the judge the difference in his role in an owned Trump property and a licensed Trump property.

"" ... the word developing."" He told the judge, ""It doesn't mean that we're the developers.""

""The disclosure of the roles of the parties was very clear to anyone who would actually read them,"" says Trump attorney Alan Garten. ""Unfortunately a lot of people, probably Mr. Goodson himself, got so caught up in the frenzy of the real estate market, they thought that they were, you know, too good for the contracts.""

Lebensohn agrees. ""Let the buyer beware,"" he told CNN. ""Some Trump product is Trump product that his team is developing,"" he says. ""Some (Trump) is branding and licensing. It's in the condominium documents.""

When asked whether people who buy a $6 million condominium don't bother looking at the fine print, Lebensohn explains some don't. ""I know that sounds asinine,"" he tells CNN, ""but it's true.""

Which brings us back to Goodson and that business about not being a slouch.

Goodson is a hugely successful businessman. He manufactures computer-cleaning products in factories across the world. He has given so much money to his alma mater, Duke University, that the law library is named after him.

Yes, he is a lawyer. Did he read the fine print in his condominium purchase contract at the Trump International Hotel and Tower in Fort Lauderdale? He says he did. He argued in court that the Trump Tower's promotional materials, magazine and newspapers articles all referred to Donald J. Trump as the developer.

Trump's attorneys showed the judge the actual prospectus that specifically detailed the licensing terms of the project and that the project developer was not Donald J. Trump, no matter what the sales pitch said.

Goodson's argument was lost in the fine print, and Goodson lost in court.

He is appealing.",2016-02-22 00:00:00,"[Curt Devine, Cnn Investigations, Nelli Black, Drew Griffin]"
3,"Starbucks is changing its rewards program, and people are not happy about it.

The company announced Monday that starting in April, customers will no longer receive one point or ""star"" per visit. Instead, patrons will receive two stars for each dollar spent. What's the problem with that? Well, Starbucks is also changing how ""gold"" status and perks are calculated.

Right now, customers receive gold status once they've earned 30 stars in a year. That's loosely equivalent to visiting Starbucks 30 times, if you don't get any bonus points along the way.

Gold members get a free food or beverage product after 12 stars.

But when the new points system launches, customers will have to earn 300 stars -- or spend close to $150 -- to reach gold status.

After that, they will need 125 stars (the equivalent to spending about $63) in exchange for a free item.

Related: Your Starbucks drink may have 25 spoons of sugar in it

The new program penalizes people who tend to spend less per visit. Regulars who buy a $2 cup of coffee, for example, will have to dish out $90 more per year to reach gold status.

The change will benefit people who spend at least $5 per visit, as they will still reach gold status in about 30 trips to Starbucks.

Starbucks says that a program based on spending has been a top customer request. But when the company announced the change, many people took to Twitter (TWTR, Tech30) to complain.

@Starbucks Right now I spend about $24 before I get a reward, now I have to spend $62.50 to get enough for a reward?!?!? This is bull! — Tayler Gammon (@TheTaylerGammon) February 22, 2016

@Starbucks crowing ""you'll earn stars faster!"" -- but you'll need more than 10x the stars to get a freebie. That's inflation, not incentive. — Brooke C. Wheeler (@bcwheeler) February 22, 2016

@Starbucks This loyal customer is beyond angry - cut rewards for everyone averaging under $5.20 and claim it's a response to OUR requests?! — lake county democrat (@lakecountydem) February 22, 2016

This will be the most significant change to Starbucks' rewards program since its launch in 2009. A Starbucks (SBUX) spokeswoman told CNNMoney that the company is aware of the reactions on social media and is ""always listening to customer feedback.""

Starbucks will multiply the points for existing customers by 11 when the new calculations go into effect in April.",2016-02-22 00:00:00,[Hope King]
4,"Uh-oh! It could be you, or it could be us, but there's no page here.

Search",2016-02-23 00:00:00,[]
5,"

Unfortunately we are unable to show the requested link, sorry for any inconvenience. The likely cause is that either the link has expired or you are using a feed reader whose browser engine is not the same as the default browser on your PC e.g. you are using a Microsoft product (like Outlook) to read the feed but you have Firefox set as the default browser. If you change your default browser (in this example change it to Microsoft's Internet Explorer) you will be able to follow the link.



",,[]
6,"Uh-oh! It could be you, or it could be us, but there's no page here.

Search",2016-02-23 00:00:00,[]
7,"Adele appeared in a prank segment on ""Ellen,"" where host Ellen DeGeneres told the singer what to say and do during a visit to Jamba Juice.",2016-02-23 00:00:00,[]
8,"By Eugene Scott, CNN

Ben Carson suggested that if elected president he might be the first African-American to hold the position noting, President Barack Obama was ""raised white"" and outside of the United States.",2016-02-23 00:00:00,[]
9,"If you're a one-trick pony consumer gadget company, then you sure as heck better be American Pharoah.

Because if you're not, investors will quickly send you to Wall Street's equivalent of the tech stock glue factory.

Witness the sad tale of Fitbit (FIT).

Fitbit -- the company known for wearable wrist bands that track steps, calories burned and heartbeats -- plunged nearly 20% Tuesday after the company said late Monday that sales and earnings for the first quarter would fall far short of analysts' forecasts.

At least 10 Wall Street analysts slashed their price targets for Fitibt on Tuesday morning following the weak guidance, according to FactSet Research.

Even though Fitibit reported strong holiday sales, investors are growing increasingly concerned that Fitbit is just another GoPro (GPRO, Tech30) -- the wearable action camera maker that has also disappointed Wall Street lately with a bleak outlook.

Both companies face intense competition from more entrenched tech giants like Apple (AAPL, Tech30) and Samsung (SSNLF).

Fitbit has made a name for itself with its Surge, Charge and Flex activity trackers. The company is also releasing a new wristband called the Alta later this year.

President Obama, Ted Cruz, Britney Spears and Ryan Reynolds have all been spotted with Fitbits on their wrists. It must be cool if Deadpool is wearing one, right?

Related: No Super Bowl bump for Fitbit

But Fitibit's new Blaze smartwatch -- which the company promoted in a somewhat bland Super Bowl commercial -- has not gotten the best reviews. It's been dubbed a me-too product in the crowded wearable tech field.

In addition to Apple and Samsung, Fitbit is also competing against larger companies like Garmin (GRMN), Under Armour (UA) and China's Huawei.

At the end of the day, companies like Fitbit and GoPro sell devices that are highly commoditized hardware products.

Sure, Fitibit technically is also selling something that's fashionable. And Fitbit has been able to charge premium prices for its products than some of its rivals, particularly in China. But that can't last forever unless your name is Apple.

Fitbit seems to recognize this. Executives said during the company's conference call with analysts on Monday that it plans to invest a lot more on research and development this year so it can develop software that will make it a digital health leader.

That may be a smart strategy for the long-term. But analysts are clearly worried about the rising R&D and marketing costs -- especially when it comes at a time that sales may be weakening.

So if the Blaze doesn't light the tech world on fire, Fitbit's stock could fall even further out of shape on Wall Street. The stock is currently hovering around $14 -- well below its initial public offering price of $20 from last year.",2016-02-23 00:00:00,"[La Monica, Paul R]"
